456,ADCT|NAS|US
456,ADCTD|NAS|US
456,TEL|NYS|US
457,AUD|NAS|US
457,ADP|NAS|US
463,AAIR|NYS|US
463,AAI|NYS|US
463,LUV|NYS|US
464,AIZ|NYS|US
465,UDCI|NAS|US
465,AIZ|NYS|US
466,THC|NYS|US
469,AMZN|NAS|US
470,ABT|NYS|US
470,JNJ|NYS|US
471,CD|NAS|US
471,CAR|NAS|US
472,DISH|NAS|US
473,BAMM|NAS|US
473,BAMME|NAS|US
474,BAS|ETR|DE
477,COL|NYS|US
477,HCA|NYS|US
480,CL|NYS|US
482,THC|NYS|US
483,CDW|NAS|US
484,CDW|NAS|US
485,CDW|NAS|US
488,THC|NYS|US
489,KIND|NYS|US
489,KND|NYS|US
489,THC|NYS|US
494,CTAS|NAS|US
495,CYN|NYS|US
495,RY|TSE|CA
496,ORN|NYS|US
496,THC|NYS|US
496,HCA|NYS|US
497,DBD|NYS|US
498,DIRV|OTC|US
498,DIRVE|OTC|US
498,DIRVD|OTC|US
500,THC|NYS|US
502,THC|NYS|US
503,DG|NYS|US
505,DOW|NYS|US
505,DWDP|NYS|US
506,THC|NYS|US
507,DSM|AMS|NL
508,DNB.WI|NYS|US
508,DNB|NYS|US
509,THC|NYS|US
510,THC|NYS|US
513,EMN|NYS|US
516,EP|NYS|US
516,KMI|NYS|US
517,EQ.WI|NYS|US
517,EQ|NYS|US
517,CTL|NYS|US
517,LUMN|NYS|US
519,FDO|NYS|US
519,DLTR|NAS|US
520,FNM|OTC|US
520,FNMA|OTC|US
521,EO|PAR|FR
523,THC|NYS|US
525,THC|NYS|US
526,6702|TKS|JP
531,MMC|NYS|US
532,THC|NYS|US
533,THC|NYS|US
534,HCA|NYS|US
535,ORN|NYS|US
535,THC|NYS|US
535,HCA|NYS|US
539,THC|NYS|US
541,MHP|NYS|US
541,MHFI|NYS|US
542,THC|NYS|US
543,JHF|NYS|US
543,MFC|TSE|CA
544,COL|NYS|US
544,HCA|NYS|US
546,KROL|NAS|US
546,MMC|NYS|US
546,PVT|OTC|US
546,KLDI|OTC|US
547,LTM|NYS|US
547,LTH|NYS|US
548,LTD|NYS|US
548,LB|NYS|US
548,BBWI.WI|NYS|US
548,BBWI|NYS|US
549,THC|NYS|US
550,THC|NYS|US
551,LEVI|NYS|US
553,LU|NYS|US
553,ALU|PAR|FR
553,NOKIA|HEL|FI
556,MMC|NYS|US
568,ADPT|OTC|US
568,ADPTQ|OTC|US
569,NLC|NYS|US
569,ECL|NYS|US
570,NKE|NYS|US
571,THC|NYS|US
573,THC|NYS|US
576,THC|NYS|US
580,COL|NYS|US
580,HCA|NYS|US
581,OWW|NYS|US
581,EXPE|NAS|US
582,ODP|NAS|US
583,THC|NYS|US
584,PSA|NYS|US
585,QADA|NAS|US
587,UTX|NYS|US
587,COL.WI|NYS|US
587,COL|NYS|US
587,RTX|NYS|US
589,URI|NYS|US
591,6758|TKS|JP
592,THC|NYS|US
596,THC|NYS|US
601,TYSNA|NYS|US
601,TSN|NYS|US
602,RMK|NYS|US
602,ARMK|NYS|US
605,SBD|LON|GB
609,PET|NYS|US
609,SRE|NYS|US
611,THC|NYS|US
631,SMG|NYS|US
632,4502|TKS|JP
633,TLEO|NAS|US
633,ORCL|NYS|US
634,HCA|NYS|US
637,TKR|NYS|US
639,MHP|NYS|US
639,MHFI|NYS|US
639,SPGI|NYS|US
640,THC|NYS|US
645,SR|OTC|US
645,SRCTQ|OTC|US
650,DELL|NAS|US
650,DVMTV|NYS|US
650,DVMT|NYS|US
650,DELL.WI|NYS|US
650,DELL|NYS|US
651,MDRX|NAS|US
654,BRK.B|NYS|US
655,CGNX|NAS|US
656,INET|NAS|US
657,ECOM|NYS|US
658,COPT|NYS|US
658,COPTD|NYS|US
658,OFC|NYS|US
661,CRUS|NAS|US
662,CUTR|NAS|US
664,FBG|NYS|US
664,FBR|NYS|US
664,AI|NYS|US
664,AAIC|NYS|US
668,DOW|ASX|AU
669,ITWO|NAS|US
669,ITWOE|NAS|US
669,ITWH|NAS|US
669,JDAS|NAS|US
669,6752|TKS|JP
673,IMMR|NAS|US
675,H|NYS|US
676,COSFF|NAS|US
676,CORL|NAS|US
676,CRE.XX1|TSE|CA
678,CVS|NYS|US
679,SNPS|NAS|US
680,MIPS|NAS|US
680,IMG|LON|GB
682,053690|KRX|KR
684,QSFT|NAS|US
684,DELL|NAS|US
684,DVMTV|NYS|US
684,DVMT|NYS|US
687,7964|TKS|JP
687,6460|TKS|JP
691,ZCO|OTC|US
691,ZCOI|OTC|US
691,ZGCO|OTC|US
691,ZGCOD|OTC|US
692,ABBN|SWX|CH
693,UNA|NYS|US
693,IN|NYS|US
693,HON|NAS|US
695,WNRP|OTC|US
695,OSBC|NAS|US
697,ABT|NYS|US
700,ACM|NYS|US
704,DBEH|NAS|US
704,DADE|NAS|US
704,SIE|ETR|DE
705,2353|TAI|TW
707,HXL|NYS|US
708,EVVV|NAS|US
708,COV|NYS|US
708,MDT|NYS|US
709,3978|TKS|JP
710,MOVA|NYS|US
710,MOV|NYS|US
713,AA|NYS|US
716,AV.WI|NYS|US
716,AV|NYS|US
716,AVYA|NYS|US
718,BGP|OTC|US
718,BGPIQ|OTC|US
720,BOL|NYS|US
720,VRX|NYS|US
720,BHC|NYS|US
721,BAX|NYS|US
723,BF.B|NYS|US
725,BKC|NYS|US
725,QSR|TSE|CA
726,BIIB|NAS|US
727,CVH|BUE|AR
728,CMRN|OTC|US
731,AVTC|NAS|US
731,CAPA|NAS|US
731,OTEX|TSE|CA
731,BUKS|OTC|US
732,CMCSA|NAS|US
733,CAG|NYS|US
734,CLS|TSE|CA
735,CMRN|OTC|US
736,CAM|NYS|US
736,SLB|NYS|US
737,JEC|NYS|US
737,J|NYS|US
738,CVD|NYS|US
738,LH|NYS|US
741,CMOS|NAS|US
741,LTXX|NAS|US
741,LTXC|NAS|US
741,LTXCD|NAS|US
741,XCRA|NAS|US
741,COHU|NAS|US
742,CHIR|NAS|US
742,NOVN|SWX|CH
745,NOVN|SWX|CH
746,CZN|OTC|US
746,FTR|OTC|US
746,FTRCQ|OTC|US
746,FYBR|NAS|US
747,DGE|LON|GB
750,DST|NYS|US
750,SSNC|NAS|US
752,IPG|NYS|US
753,AOC|NYS|US
753,AON|NYS|US
754,HSC|ASX|AU
755,ADM|NYS|US
756,ARBA|NAS|US
756,ARBAE|NAS|US
756,ARBAD|NAS|US
756,SAP|ETR|DE
757,ALK|NYS|US
758,UHS|NYS|US
759,NOVN|SWX|CH
759,ALC|SWX|CH
760,ADSK|NAS|US
770,4568|TKS|JP
772,ELNK|NAS|US
773,ECLP|NAS|US
773,MDRX|NAS|US
774,EXPO|NAS|US
776,GT|NAS|US
778,ISYS|LON|GB
778,SU|PAR|FR
779,JBLU|NAS|US
781,6971|TKS|JP
782,MTB|NYS|US
785,ML|PAR|FR
791,ONCGV|NYS|US
791,OC.WI|NYS|US
791,OC|NYS|US
803,ISYS|LON|GB
803,SU|PAR|FR
804,SNV|NYS|US
810,BHGE|NAS|US
810,BKR|NAS|US
812,ESS|NYS|US
813,TXT|NYS|US
819,BARC|LON|GB
822,MDTH|NAS|US
824,NCI|NYS|US
825,OTRKB|NYS|US
825,OSK|NYS|US
826,PER|NYS|US
826,DELL|NAS|US
826,DVMTV|NYS|US
826,DVMT|NYS|US
826,DELL.WI|NYS|US
826,DELL|NYS|US
827,SVU|NYS|US
827,ONEX|TSE|CA
829,SHW|NYS|US
832,TXT|NYS|US
833,AMGN|NAS|US
834,ARCAD|AMS|NL
835,IVC|NYS|US
835,AVZ|NYS|US
835,IVZ|NYS|US
836,ARQL|NAS|US
836,MRK|NYS|US
837,EPSEF|NAS|US
837,EPSED|NAS|US
837,EPSN|NAS|US
842,SEM|NYS|US
842,MPLN|NYS|US
843,BC|NYS|US
844,BIO.A|NYS|US
844,BIO|NYS|US
846,IPG|NYS|US
847,CCMC|NAS|US
847,HUM|NYS|US
849,VHS|NYS|US
849,THC|NYS|US
851,CUM|NYS|US
851,CMI|NYS|US
852,VHS|NYS|US
852,THC|NYS|US
854,DOLE|NYS|US
855,DWRI|OTC|US
855,DWRID|OTC|US
855,MLHR|NAS|US
855,MLKN|NAS|US
856,VHS|NYS|US
856,THC|NYS|US
863,DNA|NYS|US
863,ROG|SWX|CH
865,NTAP|NAS|US
868,TWX|NYS|US
868,AOL|NYS|US
868,AOL.WI|NYS|US
868,VZ|NYS|US
870,FLWS|NAS|US
872,SRCE|NAS|US
873,TW|NYS|US
873,AIG|NYS|US
873,ZURN|SWX|CH
876,TFSM|NAS|US
876,TFSMD|NAS|US
877,CRGN|NAS|US
877,ROG|SWX|CH
878,LTVW|OTC|US
878,GOCH|OTC|US
878,GOCHE|OTC|US
879,PIC|LON|GB
879,ARRS|NAS|US
879,COMM|NAS|US
880,TDSCD|NYS|US
880,TDSCE|NYS|US
880,TDSC|NYS|US
880,DDD|NYS|US
881,SE|NYS|US
881,3382|TKS|JP
882,VRSK|NAS|US
883,QQ|LON|GB
883,PRSP|NYS|US
884,PAR|NYS|US
884,HPQ|NYS|US
884,HPE.WI|NYS|US
884,HPE|NYS|US
890,EMS|NYS|US
890,EVHC|NYS|US
891,AMMD|NAS|US
891,ENDP|OTC|US
891,ENDPQ|OTC|US
892,7201|TKS|JP
893,WGRD|NAS|US
896,BKBOF|OTC|US
896,BKBOE|OTC|US
896,BKBO|OTC|US
896,QSFT|NAS|US
896,DELL|NAS|US
896,DVMTV|NYS|US
896,DVMT|NYS|US
898,ABTL|NAS|US
898,ABTLE|NAS|US
898,AUTO|NAS|US
